genres,app_name,release_date,specs,price,early_access,sentiment,metascore,año,specs_encoded,genres_encoded,sentiment_code
Strategy,Rome: Total War™ - Collection,2004-09-22,Single player,9.99,False,Very Positive,92,2004,32,8,7.0
Strategy,Rome: Total War™ - Collection,2004-09-22, Multi player,9.99,False,Very Positive,92,2004,13,8,7.0
Strategy,Rome: Total War™ - Collection,2004-09-22, Steam Trading Cards,9.99,False,Very Positive,92,2004,22,8,7.0
Strategy,Rome: Total War™ - Alexander,2006-06-26,Single player,4.99,False,Mostly Positive,79,2006,32,8,6.0
Strategy,Rome: Total War™ - Alexander,2006-06-26, Multi player,4.99,False,Mostly Positive,79,2006,13,8,6.0
Action,Manhunt,2004-04-20,Single player,9.99,False,Mixed,75,2004,32,0,4.0
Racing,Midnight Club 2,2003-07-01,Single player,9.99,False,Very Positive,81,2003,32,5,7.0
Racing,Midnight Club 2,2003-07-01, Multi player,9.99,False,Very Positive,81,2003,13,5,7.0
Action,Max Payne 2: The Fall of Max Payne,2003-10-14,Single player,9.99,False,Very Positive,86,2003,32,0,7.0
Action,Tomb Raider: Legend,2006-04-07,Single player,6.99,False,Very Positive,82,2006,32,0,7.0
Action,Tomb Raider: Legend,2006-04-07, Partial Controller Support,6.99,False,Very Positive,82,2006,16,0,7.0
Adventure,Tomb Raider: Legend,2006-04-07,Single player,6.99,False,Very Positive,82,2006,32,1,7.0
Adventure,Tomb Raider: Legend,2006-04-07, Partial Controller Support,6.99,False,Very Positive,82,2006,16,1,7.0
Action,Max Payne,2001-07-25,Single player,9.99,False,Very Positive,89,2001,32,0,7.0
Strategy,Command & Conquer: Red Alert 3,2008-10-28,Single player,19.99,False,Very Positive,82,2008,32,8,7.0
Casual,PuzzleQuest: Challenge of the Warlords,2007-10-10,Single player,9.99,False,Very Positive,84,2007,32,2,7.0
Casual,PuzzleQuest: Challenge of the Warlords,2007-10-10, Multi player,9.99,False,Very Positive,84,2007,13,2,7.0
Casual,PuzzleQuest: Challenge of the Warlords,2007-10-10, Steam Cloud,9.99,False,Very Positive,84,2007,20,2,7.0
RPG,Culpa Innata,2007-10-23,Single player,9.99,False,Very Positive,66,2007,32,4,7.0
Casual,Culpa Innata,2007-10-23,Single player,9.99,False,Very Positive,66,2007,32,2,7.0
Adventure,Culpa Innata,2007-10-23,Single player,9.99,False,Very Positive,66,2007,32,1,7.0
Action,Conflict: Denied Ops,2008-02-08,Single player,5.99,False,Mixed,58,2008,32,0,4.0
Action,ARMA: Combat Operations,2007-05-08,Single player,7.99,False,Mixed,74,2007,32,0,4.0
Action,ARMA: Combat Operations,2007-05-08, Multi player,7.99,False,Mixed,74,2007,13,0,4.0
Action,ARMA: Combat Operations,2007-05-08, Includes level editor,7.99,False,Mixed,74,2007,9,0,4.0
Simulation,Tycoon City: New York,2006-02-21,Single player,9.99,False,Mostly Negative,67,2006,32,6,3.0
Action,Desperados 2: Cooper's Revenge,2006-05-02,Single player,9.99,False,Mixed,66,2006,32,0,4.0
Action,Death to Spies,2007-10-16,Single player,4.99,False,Mostly Positive,69,2007,32,0,6.0
Action,Death to Spies,2007-10-16, Steam Cloud,4.99,False,Mostly Positive,69,2007,20,0,6.0
Adventure,Death to Spies,2007-10-16,Single player,4.99,False,Mostly Positive,69,2007,32,1,6.0
Adventure,Death to Spies,2007-10-16, Steam Cloud,4.99,False,Mostly Positive,69,2007,20,1,6.0
Action,Act of War: High Treason,2006-05-30,Single player,2.99,False,Very Positive,74,2006,32,0,7.0
Action,Act of War: High Treason,2006-05-30, Multi player,2.99,False,Very Positive,74,2006,13,0,7.0
Simulation,RollerCoaster Tycoon® 3: Platinum,2006-10-26,Single player,19.99,False,Very Positive,81,2006,32,6,7.0
Strategy,RollerCoaster Tycoon® 3: Platinum,2006-10-26,Single player,19.99,False,Very Positive,81,2006,32,8,7.0
Action,Act of War: Direct Action,2005-03-14,Single player,2.99,False,Very Positive,82,2005,32,0,7.0
Action,Act of War: Direct Action,2005-03-14, Multi player,2.99,False,Very Positive,82,2005,13,0,7.0
Action,Unreal 2: The Awakening,2003-02-03,Single player,14.99,False,Mostly Positive,75,2003,32,0,6.0
Casual,Ninja Reflex: Steamworks Edition,2008-03-21,Single player,4.99,False,Positive,57,2008,32,2,5.0
Casual,Ninja Reflex: Steamworks Edition,2008-03-21, Multi player,4.99,False,Positive,57,2008,13,2,5.0
Casual,Ninja Reflex: Steamworks Edition,2008-03-21, Steam Achievements,4.99,False,Positive,57,2008,19,2,5.0
Indie,Ninja Reflex: Steamworks Edition,2008-03-21,Single player,4.99,False,Positive,57,2008,32,3,5.0
Indie,Ninja Reflex: Steamworks Edition,2008-03-21, Multi player,4.99,False,Positive,57,2008,13,3,5.0
Indie,Ninja Reflex: Steamworks Edition,2008-03-21, Steam Achievements,4.99,False,Positive,57,2008,19,3,5.0
Action,Tom Clancy's Splinter Cell®,2003-02-18,Single player,9.99,False,Very Positive,91,2003,32,0,7.0
Action,Far Cry®,2004-03-23,Single player,9.99,False,Very Positive,89,2004,32,0,7.0
Action,Unreal Tournament: Game of the Year Edition,2000-10-25,Single player,9.99,False,Overwhelmingly Positive,92,2000,32,0,8.0
Action,Unreal Tournament: Game of the Year Edition,2000-10-25, Multi player,9.99,False,Overwhelmingly Positive,92,2000,13,0,8.0
Action,Tom Clancy's Rainbow Six® Vegas,2006-12-12,Single player,9.99,False,Mostly Positive,85,2006,32,0,6.0
Action,Tom Clancy's Rainbow Six® Vegas,2006-12-12, Multi player,9.99,False,Mostly Positive,85,2006,13,0,6.0
Simulation,Silent Hunter® III,2005-03-15,Single player,9.99,False,Very Positive,90,2005,32,6,7.0
Simulation,Silent Hunter® III,2005-03-15, Multi player,9.99,False,Very Positive,90,2005,13,6,7.0
Simulation,Silent Hunter® III,2005-03-15, Co op,9.99,False,Very Positive,90,2005,1,6,7.0
Action,Rayman Raving Rabbids™,2007-03-27,Single player,9.99,False,Mostly Positive,58,2007,32,0,6.0
Adventure,Rayman Raving Rabbids™,2007-03-27,Single player,9.99,False,Mostly Positive,58,2007,32,1,6.0
Simulation,Silent Hunter®: Wolves of the Pacific,2007-03-20,Single player,9.99,False,Mixed,79,2007,32,6,4.0
Simulation,Silent Hunter®: Wolves of the Pacific,2007-03-20, Multi player,9.99,False,Mixed,79,2007,13,6,4.0
Simulation,IL-2 Sturmovik: 1946,2006-12-15,Single player,9.99,False,Very Positive,86,2006,32,6,7.0
Simulation,IL-2 Sturmovik: 1946,2006-12-15, Multi player,9.99,False,Very Positive,86,2006,13,6,7.0
Simulation,IL-2 Sturmovik: 1946,2006-12-15, Steam Cloud,9.99,False,Very Positive,86,2006,20,6,7.0
Simulation,IL-2 Sturmovik: 1946,2006-12-15, Includes level editor,9.99,False,Very Positive,86,2006,9,6,7.0
Adventure,Bone: Out From Boneville,2005-09-15,Single player,9.99,False,Mixed,68,2005,32,1,4.0
Adventure,Bone: The Great Cow Race,2006-04-12,Single player,9.99,False,Mixed,76,2006,32,1,4.0
Adventure,Dracula Origin,2008-05-20,Single player,9.99,False,Mixed,70,2008,32,1,4.0
Adventure,Sherlock Holmes - Nemesis,2008-04-14,Single player,9.99,False,Mostly Positive,71,2008,32,1,6.0
RPG,Sherlock Holmes - Nemesis,2008-04-14,Single player,9.99,False,Mostly Positive,71,2008,32,4,6.0
Simulation,Pacific Storm Allies,2007-05-25,Single player,7.99,False,Mixed,60,2007,32,6,4.0
Simulation,Pacific Storm Allies,2007-05-25, Multi player,7.99,False,Mixed,60,2007,13,6,4.0
Simulation,Pacific Storm Allies,2007-05-25, Steam Trading Cards,7.99,False,Mixed,60,2007,22,6,4.0
Strategy,Pacific Storm Allies,2007-05-25,Single player,7.99,False,Mixed,60,2007,32,8,4.0
Strategy,Pacific Storm Allies,2007-05-25, Multi player,7.99,False,Mixed,60,2007,13,8,4.0
Strategy,Pacific Storm Allies,2007-05-25, Steam Trading Cards,7.99,False,Mixed,60,2007,22,8,4.0
Racing,FlatOut: Ultimate Carnage,2008-08-19,Single player,19.99,False,Very Positive,79,2008,32,5,7.0
Racing,FlatOut: Ultimate Carnage,2008-08-19, Multi player,19.99,False,Very Positive,79,2008,13,5,7.0
Racing,GTR Evolution Expansion Pack for RACE 07,2008-09-01,Single player,7.99,False,Positive,83,2008,32,5,5.0
Racing,GTR Evolution Expansion Pack for RACE 07,2008-09-01, Multi player,7.99,False,Positive,83,2008,13,5,5.0
Racing,GTR Evolution Expansion Pack for RACE 07,2008-09-01, Downloadable Content,7.99,False,Positive,83,2008,4,5,5.0
Strategy,X-COM: Enforcer,2001-04-19,Single player,4.99,False,Mixed,65,2001,32,8,4.0
Strategy,X-COM: Enforcer,2001-04-19, Multi player,4.99,False,Mixed,65,2001,13,8,4.0
Action,S.T.A.L.K.E.R.: Clear Sky,2008-09-15,Single player,9.99,False,Very Positive,75,2008,32,0,7.0
Action,S.T.A.L.K.E.R.: Clear Sky,2008-09-15, Multi player,9.99,False,Very Positive,75,2008,13,0,7.0
RPG,S.T.A.L.K.E.R.: Clear Sky,2008-09-15,Single player,9.99,False,Very Positive,75,2008,32,4,7.0
RPG,S.T.A.L.K.E.R.: Clear Sky,2008-09-15, Multi player,9.99,False,Very Positive,75,2008,13,4,7.0
Action,Crysis Warhead®,2008-09-17,Single player,19.99,False,Very Positive,84,2008,32,0,7.0
Action,Crysis,2007-11-13,Single player,19.99,False,Very Positive,91,2007,32,0,7.0
Action,The Witcher: Enhanced Edition Director's Cut,2008-09-16,Single player,9.99,False,Very Positive,86,2008,32,0,7.0
Action,The Witcher: Enhanced Edition Director's Cut,2008-09-16, Steam Cloud,9.99,False,Very Positive,86,2008,20,0,7.0
RPG,The Witcher: Enhanced Edition Director's Cut,2008-09-16,Single player,9.99,False,Very Positive,86,2008,32,4,7.0
RPG,The Witcher: Enhanced Edition Director's Cut,2008-09-16, Steam Cloud,9.99,False,Very Positive,86,2008,20,4,7.0
Indie,Multiwinia,2008-09-19,Single player,9.99,False,Very Positive,76,2008,32,3,7.0
Indie,Multiwinia,2008-09-19, Multi player,9.99,False,Very Positive,76,2008,13,3,7.0
Indie,Multiwinia,2008-09-19, Steam Achievements,9.99,False,Very Positive,76,2008,19,3,7.0
Strategy,Sid Meier's Civilization IV: Colonization,2008-09-23,Single player,19.99,False,Mostly Positive,83,2008,32,8,6.0
Strategy,Sid Meier's Civilization IV: Colonization,2008-09-23, Multi player,19.99,False,Mostly Positive,83,2008,13,8,6.0
Action,Tom Clancy's Rainbow Six® 3 Gold,2003-03-18,Single player,9.99,False,Very Positive,85,2003,32,0,7.0
Action,LEGO Batman,2008-09-29,Single player,19.99,False,Very Positive,80,2008,32,0,7.0
Action,LEGO Batman,2008-09-29, Shared/Split Screen,19.99,False,Very Positive,80,2008,17,0,7.0
Action,LEGO Batman,2008-09-29, Full controller support,19.99,False,Very Positive,80,2008,5,0,7.0
Adventure,LEGO Batman,2008-09-29,Single player,19.99,False,Very Positive,80,2008,32,1,7.0
Adventure,LEGO Batman,2008-09-29, Shared/Split Screen,19.99,False,Very Positive,80,2008,17,1,7.0
Adventure,LEGO Batman,2008-09-29, Full controller support,19.99,False,Very Positive,80,2008,5,1,7.0
RPG,Hinterland,2008-09-30,Single player,9.99,False,Mostly Positive,65,2008,32,4,6.0
RPG,Hinterland,2008-09-30, Steam Achievements,9.99,False,Mostly Positive,65,2008,19,4,6.0
Strategy,Hinterland,2008-09-30,Single player,9.99,False,Mostly Positive,65,2008,32,8,6.0
Strategy,Hinterland,2008-09-30, Steam Achievements,9.99,False,Mostly Positive,65,2008,19,8,6.0
Action,Brothers in Arms: Hell's Highway™,2008-10-08,Single player,9.99,False,Very Positive,79,2008,32,0,7.0
Strategy,Heroes of Might & Magic V: Hammers of Fate,2006-11-14,Single player,9.99,False,Mostly Positive,66,2006,32,8,6.0
Action,Brothers in Arms: Earned in Blood™,2005-10-04,Single player,9.99,False,Very Positive,84,2005,32,0,7.0
Strategy,Heroes of Might & Magic V: Tribes of the East,2007-10-16,Single player,9.99,False,Very Positive,70,2007,32,8,7.0
Strategy,The Settlers®: Rise Of An Empire Gold Edition,2008-04-18,Single player,19.99,False,Mostly Positive,66,2008,32,8,6.0
Action,The Sum of All Fears,2002-05-31,Single player,9.99,False,Positive,72,2002,32,0,5.0
Action,The Sum of All Fears,2002-05-31, Multi player,9.99,False,Positive,72,2002,13,0,5.0
Casual,Peggle™ Nights,2008-10-15,Single player,4.99,False,Very Positive,76,2008,32,2,7.0
Indie,World of Goo,2008-10-13,Single player,9.99,False,Very Positive,90,2008,32,3,7.0
Indie,World of Goo,2008-10-13, Steam Achievements,9.99,False,Very Positive,90,2008,19,3,7.0
Action,X3: Terran Conflict,2008-10-16,Single player,15.99,False,Very Positive,73,2008,32,0,7.0
Action,X3: Terran Conflict,2008-10-16, Steam Achievements,15.99,False,Very Positive,73,2008,19,0,7.0
Action,X3: Terran Conflict,2008-10-16, Full controller support,15.99,False,Very Positive,73,2008,5,0,7.0
Action,X3: Terran Conflict,2008-10-16, Captions available,15.99,False,Very Positive,73,2008,0,0,7.0
Action,X3: Terran Conflict,2008-10-16, Steam Cloud,15.99,False,Very Positive,73,2008,20,0,7.0
Simulation,X3: Terran Conflict,2008-10-16,Single player,15.99,False,Very Positive,73,2008,32,6,7.0
Simulation,X3: Terran Conflict,2008-10-16, Steam Achievements,15.99,False,Very Positive,73,2008,19,6,7.0
Simulation,X3: Terran Conflict,2008-10-16, Full controller support,15.99,False,Very Positive,73,2008,5,6,7.0
Simulation,X3: Terran Conflict,2008-10-16, Captions available,15.99,False,Very Positive,73,2008,0,6,7.0
Simulation,X3: Terran Conflict,2008-10-16, Steam Cloud,15.99,False,Very Positive,73,2008,20,6,7.0
Strategy,X3: Terran Conflict,2008-10-16,Single player,15.99,False,Very Positive,73,2008,32,8,7.0
Strategy,X3: Terran Conflict,2008-10-16, Steam Achievements,15.99,False,Very Positive,73,2008,19,8,7.0
Strategy,X3: Terran Conflict,2008-10-16, Full controller support,15.99,False,Very Positive,73,2008,5,8,7.0
Strategy,X3: Terran Conflict,2008-10-16, Captions available,15.99,False,Very Positive,73,2008,0,8,7.0
Strategy,X3: Terran Conflict,2008-10-16, Steam Cloud,15.99,False,Very Positive,73,2008,20,8,7.0
Action,Bully: Scholarship Edition,2008-10-21,Single player,14.99,False,Very Positive,72,2008,32,0,7.0
Action,Bully: Scholarship Edition,2008-10-21, Partial Controller Support,14.99,False,Very Positive,72,2008,16,0,7.0
Adventure,Bully: Scholarship Edition,2008-10-21,Single player,14.99,False,Very Positive,72,2008,32,1,7.0
Adventure,Bully: Scholarship Edition,2008-10-21, Partial Controller Support,14.99,False,Very Positive,72,2008,16,1,7.0
Action,Far Cry® 2: Fortune's Edition,2008-10-22,Single player,9.99,False,Mostly Positive,85,2008,32,0,6.0
Action,Far Cry® 2: Fortune's Edition,2008-10-22, Multi player,9.99,False,Mostly Positive,85,2008,13,0,6.0
Action,Saints Row 2,2009-01-28,Single player,9.99,False,Mostly Positive,72,2009,32,0,6.0
Action,Saints Row 2,2009-01-28, Steam Cloud,9.99,False,Mostly Positive,72,2009,20,0,6.0
Action,Dead Space,2008-10-20,Single player,19.99,False,Very Positive,86,2008,32,0,7.0
Action,Dead Space,2008-10-20, Full controller support,19.99,False,Very Positive,86,2008,5,0,7.0
RPG,Rise of the Argonauts,2008-12-16,Single player,9.99,False,Mostly Positive,59,2008,32,4,6.0
RPG,Rise of the Argonauts,2008-12-16, Full controller support,9.99,False,Mostly Positive,59,2008,5,4,6.0
Action,Mirror's Edge™,2009-01-13,Single player,19.99,False,Very Positive,81,2009,32,0,7.0
Action,Mirror's Edge™,2009-01-13, Full controller support,19.99,False,Very Positive,81,2009,5,0,7.0
Action,Mirror's Edge™,2009-01-13, Partial Controller Support,19.99,False,Very Positive,81,2009,16,0,7.0
Adventure,Mirror's Edge™,2009-01-13,Single player,19.99,False,Very Positive,81,2009,32,1,7.0
Adventure,Mirror's Edge™,2009-01-13, Full controller support,19.99,False,Very Positive,81,2009,5,1,7.0
Adventure,Mirror's Edge™,2009-01-13, Partial Controller Support,19.99,False,Very Positive,81,2009,16,1,7.0
Indie,Defense Grid: The Awakening,2008-12-08,Single player,9.99,False,Overwhelmingly Positive,81,2008,32,3,8.0
Indie,Defense Grid: The Awakening,2008-12-08, Steam Achievements,9.99,False,Overwhelmingly Positive,81,2008,19,3,8.0
Indie,Defense Grid: The Awakening,2008-12-08, Full controller support,9.99,False,Overwhelmingly Positive,81,2008,5,3,8.0
Indie,Defense Grid: The Awakening,2008-12-08, Steam Trading Cards,9.99,False,Overwhelmingly Positive,81,2008,22,3,8.0
Strategy,Defense Grid: The Awakening,2008-12-08,Single player,9.99,False,Overwhelmingly Positive,81,2008,32,8,8.0
Strategy,Defense Grid: The Awakening,2008-12-08, Steam Achievements,9.99,False,Overwhelmingly Positive,81,2008,19,8,8.0
Strategy,Defense Grid: The Awakening,2008-12-08, Full controller support,9.99,False,Overwhelmingly Positive,81,2008,5,8,8.0
Strategy,Defense Grid: The Awakening,2008-12-08, Steam Trading Cards,9.99,False,Overwhelmingly Positive,81,2008,22,8,8.0
Action,F.E.A.R. 2: Project Origin,2009-02-12,Single player,14.99,False,Very Positive,79,2009,32,0,7.0
Action,F.E.A.R. 2: Project Origin,2009-02-12, Multi player,14.99,False,Very Positive,79,2009,13,0,7.0
Action,Larva Mortus,2009-03-19,Single player,4.99,False,Mostly Positive,64,2009,32,0,6.0
Action,Larva Mortus,2009-03-19, Steam Achievements,4.99,False,Mostly Positive,64,2009,19,0,6.0
Indie,Larva Mortus,2009-03-19,Single player,4.99,False,Mostly Positive,64,2009,32,3,6.0
Indie,Larva Mortus,2009-03-19, Steam Achievements,4.99,False,Mostly Positive,64,2009,19,3,6.0
Strategy,Knights of Honor,2005-05-10,Single player,9.99,False,Very Positive,77,2005,32,8,7.0
Strategy,Knights of Honor,2005-05-10, Multi player,9.99,False,Very Positive,77,2005,13,8,7.0
Action,Ceville,2009-02-27,Single player,5.99,False,Very Positive,73,2009,32,0,7.0
Adventure,Ceville,2009-02-27,Single player,5.99,False,Very Positive,73,2009,32,1,7.0
Strategy,Ceville,2009-02-27,Single player,5.99,False,Very Positive,73,2009,32,8,7.0
